crop,acres
barley,4405312
buckwheat,45788
canola,3241538
chickpeas,388976
corn_grain,141356586
corn_silage,10248624
cotton,18345197
dill_oil,24
emmer & spelt,14650
"field crops, other",32006
flaxseed,507341
grasses & legumes totals_seed,1252421
"grasses & legumes, other_seed",13902
guar,12477
hay,81686673
hay & haylage,90424078
haylage,9495986
hops,38780
lentils,978902
mint_oil,101577
miscanthus,552
mustard_seed,106230
oats,1498034
peanuts,2960339
popcorn_shelled,256519
rapeseed,4224
rye,330697
safflower,180254
sesame,34108
sorghum_grain,8648841
sorghum_silage,440796
sorghum_syrup,581
soybeans,128232214
sugarbeets,1663257
sugarcane_seed,77887
sugarcane_sugar,866446
sunflower,2484920
switchgrass,448
taro,10
taro_fresh market,9
tobacco,512952
triticale,48156
wheat,73234838
wild rice,40742
