crop,freq
alfalfa,148040791.20392156
almonds,11375183.705882354
apples,3494202.5411764705
apricots,14707.874509803922
aquaculture,395499.7882352941
asparagus,84666.97647058823
background,647862807.6431371
barley,21488320.149019606
barren,409513.4549019608
blueberries,1017539.9137254902
broccoli,116987.93725490196
buckwheat,156826.89019607843
cabbage,167068.79607843136
camelina,8792.98431372549
caneberries,106198.5725490196
canola,16099066.71372549
cantaloupes,238510.90588235293
carrots,394209.87450980395
cauliflower,22487.992156862743
celery,13496
cherries,1487157.2588235294
chick peas,8327.992156862745
christmas trees,254399.78823529414
citrus,1040316.4509803922
clover/wildflowers,1216503.737254902
corn,835381357.8784312
cotton,116776335.80784312
cranberries,215222.79215686276
cucumbers,389982.7019607843
dbl crop barley/corn,240908.6588235294
dbl crop barley/sorghum,47810.96862745098
dbl crop barley/soybeans,662708.9529411765
dbl crop corn/soybeans,99002.94901960784
dbl crop durum wht/sorghum,18889
dbl crop lettuce/barley,951
dbl crop lettuce/cantaloupe,33969
dbl crop lettuce/cotton,82821.92941176471
dbl crop lettuce/durum wht,193892
dbl crop oats/corn,855346.8392156862
dbl crop soybeans/cotton,28468.964705882354
dbl crop soybeans/oats,162801.67843137254
dbl crop winwht/corn,3391069.537254902
dbl crop winwht/cotton,2302687.3960784315
dbl crop winwht/sorghum,2226278.4156862744
dbl crop winwht/soybeans,38911409.50588235
deciduous forest,861247.9019607843
developed/high intensity,1040
developed/low intensity,61153.945098039214
developed/med intensity,10272
developed/open space,385819.5568627451
dry beans,16902374.62352941
durum wheat,16929685.72156863
eggplants,2285.9764705882353
evergreen forest,212758.58823529413
fallow/idle cropland,104859664.10196078
flaxseed,2049556.7764705883
garlic,162620.99215686275
gourds,346
grapes,9365584.717647059
grass/pasture,64128672.63137255
greens,214182.87450980392
herbaceous wetlands,2420745.5960784312
herbs,914588.2039215686
honeydew melons,63551
hops,391903.937254902
lentils,6359472.615686274
lettuce,332564.694117647
millet,4500213.039215686
mint,88046.96862745099
misc vegs & fruits,147899.67843137254
mixed forest,31810.96862745098
mustard,470321.88235294115
nectarines,13686
oats,10233326.243137255
olives,302610.78039215686
onions,1281713.6392156864
open water,463337.45098039217
oranges,8230269.729411764
other crops,736440.1843137254
other hay/non alfalfa,156336299.84705883
other small grains,110590.99607843137
other tree crops,740750.5019607843
peaches,353227.3294117647
peanuts,14548057.415686276
pears,266326.97647058824
peas,8718669.996078432
pecans,2649505.494117647
peppers,145113.80392156861
perennial ice/snow ,392
pistachios,2449976.4470588234
plums,401333.4823529412
pomegranates,178471.65490196078
pop or orn corn,1286735.0705882353
potatoes,8945780.611764707
pumpkins,212314.8705882353
radishes,94016.97254901961
rape seed,32906
rice,21633209.60392157
rye,4076804.337254902
safflower,1247293.0705882353
shrubland,4705397.023529412
sod/grass seed,7535953.011764706
sorghum,51193013.431372546
soybeans,714887104.7490196
speltz,22046.988235294117
spring wheat,110693253.35686275
squash,199979.87843137255
strawberries,223537.9176470588
sugarbeets,10585453.050980393
sugarcane,9142352.984313726
sunflower,12682552.309803922
sweet corn,1343195.031372549
sweet potatoes,1133439.3372549019
switchgrass,44329.84705882353
tobacco,1028557.0078431373
tomatoes,2196505.031372549
triticale,1933959.4117647058
turnips,14201.972549019609
vetch,55412.882352941175
walnuts,4084121.305882353
watermelons,366364.55294117646
winter wheat,264252183.18823528
woody wetlands,1012967.4274509804
